14:32:46[1.0.0.6] ===> 拼图完成RAKowFnKb9EAAAAAAAFp3RqdcqE21.png
14:32:46[1.0.0.6] ===> 拼图完成RAKowFnKb9EAAAAAAAFx1GfrrIo40.png
14:32:46[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAACrqi7ftq039.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAD7LDdxGxQ53.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAADu_SAAJp411.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAEAFWqprqs31.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAFPKj5_dGQ20.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAACrlBerBpQ66.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAD3fWzWTh838.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAD96mi0ESA53.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAADDLS5Nms086.png
14:32:47[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAGBGV2CCAA08.png
15:15:26[1.0.0.6] ===> 背景图片:D:\背景.bmp
路径名称:D:\透明\
端口号：0订单号：测试订单
15:15:27[1.0.0.6] ===> 13张截图
15:15:27[1.0.0.6] ===> 拼图转换RAKowFnKb9EAAAAAAAExzXE8Dh493.jpg
15:15:27[1.0.0.6] ===> 拼图转换RAKowFnKb9EAAAAAAAFp3RqdcqE21.jpg
15:15:27[1.0.0.6] ===> 拼图转换RAKowFnKb9EAAAAAAAFx1GfrrIo40.jpg
15:15:27[1.0.0.6] ===> 拼图转换RAKowFnKb9IAAAAAAACrqi7ftq039.jpg
15:15:27[1.0.0.6] ===> 拼图转换RAKowFnKb9IAAAAAAAD7LDdxGxQ53.jpg
15:15:30[1.0.0.6] ===> 拼图转换RAKowFnKb9IAAAAAAADu_SAAJp411.jpg
15:15:30[1.0.0.6] ===> 拼图转换RAKowFnKb9IAAAAAAAEAFWqprqs31.jpg
15:15:30[1.0.0.6] ===> 拼图转换RAKowFnKb9IAAAAAAAFPKj5_dGQ20.jpg
15:15:30[1.0.0.6] ===> 拼图转换RAKowFnKb9MAAAAAAACrlBerBpQ66.jpg
15:15:31[1.0.0.6] ===> 拼图转换RAKowFnKb9MAAAAAAAD3fWzWTh838.jpg
15:15:31[1.0.0.6] ===> 拼图转换RAKowFnKb9MAAAAAAAD96mi0ESA53.jpg
15:15:31[1.0.0.6] ===> 拼图转换RAKowFnKb9MAAAAAAADDLS5Nms086.jpg
15:15:31[1.0.0.6] ===> 拼图转换RAKowFnKb9MAAAAAAAGBGV2CCAA08.jpg
15:15:31[1.0.0.6] ===> 开始转换拼图

15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9EAAAAAAAExzXE8Dh493.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9EAAAAAAAFp3RqdcqE21.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9EAAAAAAAFx1GfrrIo40.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAACrqi7ftq039.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAD7LDdxGxQ53.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAADu_SAAJp411.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAEAFWqprqs31.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9IAAAAAAAFPKj5_dGQ20.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAACrlBerBpQ66.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAD3fWzWTh838.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAD96mi0ESA53.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAADDLS5Nms086.png
15:15:31[1.0.0.6] ===> 拼图完成RAKowFnKb9MAAAAAAAGBGV2CCAA08.png
